OTU;Kingdom;Class;Order;Family;Genus;Species
trac274;Plantae;Magnoliopsida;Fabales;Fabaceae;Pterolobium;Pterolobium stellatum
trac275;Plantae;NA;NA;NA;NA;NA
trac276;Plantae;Magnoliopsida;Geraniales;Geraniaceae;Pelargonium;NA
trac277;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;NA
trac278;Plantae;Magnoliopsida;Rosales;Cannabaceae;Trema;Trema angustifolia
trac279;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Croton;NA
trac28;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac280;Plantae;NA;NA;NA;NA;NA
trac281;Plantae;NA;NA;NA;NA;NA
trac282;Plantae;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;NA
trac283;Plantae;Magnoliopsida;NA;NA;NA;NA
trac284;Plantae;NA;NA;NA;NA;NA
trac285;Plantae;NA;NA;NA;NA;NA
trac29;Plantae;Magnoliopsida;Asterales;Asteraceae;Galinsoga;NA
trac3;Plantae;Magnoliopsida;Ericales;Sapotaceae;Englerophytum;Englerophytum magalismontanum
trac30;Plantae;Magnoliopsida;Rosales;Cannabaceae;Celtis;NA
trac31;Plantae;Magnoliopsida;Fabales;Fabaceae;Pterolobium;Pterolobium stellatum
trac32;Plantae;Magnoliopsida;Lamiales;Oleaceae;Jasminum;Jasminum didymum
trac33;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac34;Plantae;Magnoliopsida;Asterales;Asteraceae;Chromolaena;NA
trac35;Plantae;Magnoliopsida;Fabales;Fabaceae;Rhynchosia;Rhynchosia minima
trac36;Plantae;Magnoliopsida;Sapindales;Anacardiaceae;Thyrsodium;Thyrsodium puberulum
trac37;Plantae;Magnoliopsida;Malpighiales;Salicaceae;Dovyalis;NA
trac38;Plantae;Magnoliopsida;Fabales;Fabaceae;Xeroderris;Xeroderris stuhlmannii
trac39;Plantae;Magnoliopsida;Celastrales;Celastraceae;Loeseneriella;Loeseneriella urceolus
trac4;Plantae;Magnoliopsida;Malpighiales;NA;NA;NA
trac40;Plantae;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex;NA
trac41;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Croton;NA
trac42;Plantae;Magnoliopsida;Malpighiales;Phyllanthaceae;Flueggea;NA
trac43;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac44;Plantae;Magnoliopsida;Malpighiales;Passifloraceae;Adenia;NA
trac45;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Cyathula;Cyathula cylindrica
trac46;Plantae;Magnoliopsida;Fabales;Fabaceae;Craibia;Craibia brevicaudata
trac47;Plantae;Magnoliopsida;Myrtales;Combretaceae;Combretum;Combretum apiculatum
trac48;Plantae;Magnoliopsida;Solanales;Solanaceae;Solanum;NA
trac49;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac5;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha;Acalypha rhomboidea
trac50;Plantae;Magnoliopsida;Myrtales;Combretaceae;Combretum;NA
trac51;Plantae;NA;NA;NA;NA;NA
trac52;Plantae;Magnoliopsida;Myrtales;Combretaceae;NA;NA
trac53;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Achyranthes;NA
trac54;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac55;Plantae;Magnoliopsida;Celastrales;Celastraceae;NA;NA
trac56;Plantae;Magnoliopsida;NA;NA;NA;NA
trac57;Plantae;Magnoliopsida;Brassicales;Salvadoraceae;Salvadora;Salvadora oleoides
trac58;Plantae;Magnoliopsida;Fabales;Fabaceae;NA;NA
trac59;Plantae;Magnoliopsida;Rosales;Cannabaceae;Trema;NA
trac6;Plantae;Magnoliopsida;Fabales;Fabaceae;Philenoptera;Philenoptera violacea
trac60;Plantae;NA;NA;NA;NA;NA
trac61;Plantae;Magnoliopsida;Malvales;Malvaceae;Sida <eudicots>;NA
trac62;Plantae;Magnoliopsida;Fabales;Fabaceae;Senna;NA
trac63;Plantae;Magnoliopsida;Vitales;Vitaceae;Cissus;Cissus integrifolia
trac64;Plantae;NA;NA;NA;NA;NA
trac65;Plantae;Magnoliopsida;Fabales;Fabaceae;Indigofera;NA
trac66;Plantae;Magnoliopsida;Poales;Poaceae;Enteropogon;Enteropogon dolichostachyus
trac67;Plantae;Magnoliopsida;Malpighiales;Salicaceae;Dovyalis;NA
trac68;Plantae;Magnoliopsida;Sapindales;Meliaceae;Lepidotrichilia;Lepidotrichilia volkensii
trac69;Plantae;Magnoliopsida;Myrtales;Combretaceae;Combretum;NA
trac7;Plantae;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona squamosa
trac70;Plantae;Magnoliopsida;Lamiales;Acanthaceae;NA;NA
trac71;Plantae;Magnoliopsida;Gentianales;Apocynaceae;Cryptolepis;Cryptolepis cryptolepioides
